menu_start_game_options|Przybywasz do Calradii, krainy rozdartej pomiędzy królestwa rywalizujące ze sobą o władzę, przystani dla rycerzy i najemników, rzezimieszków i łowców przygód, z których wszyscy zaryzykują życie w pogoni za fortuną, władzą lub sławą... W tym świecie, pełnym niebezpieczeństw i wielkich możliwości, zapomnisz o swojej przeszłości i rozpoczniesz nowe życie. Teraz, stojąc na wzniesieniu, rozciągającym się nad odległym obozem szkoleniowym, czujesz, że klucz do przeznaczenia leży w twoich rękach, że masz wolny wybór i czekają na ciebie wspaniałe przygody.
mno_choose_options|Kontynuuj...
mno_start_mod|Szybka postać (for mod testing)
mno_go_back|Wróć
mno_continue|Kontynuuj...
menu_start_game_3|Wybierz scenariusz:
menu_tutorial|Zbliżasz się do pola, gdzie miejscowi szkolą się we władaniu bronią. Możesz tu poćwiczyć, aby poprawić swoje umiejętności w tym zakresie.
mno_go_back_dot|Wróć
menu_reports|REputacja postaci: {reg5}^Wskaźnik honoru: {reg6}^Morale oddziału: {reg8}^Limit wielkości oddziału: {reg7}^^{reg9?Następny żołd:^{s1}:}
mno_view_party_reports|Przejrzyj raport dotyczący postaci
mno_dplmc_show_economic_report|Przejrzyj raport rozwoju
mno_resume_travelling|Kontynuuj podróż.
menu_reference_reports|Raport ??????
mno_action_view_upgrade_trees|Przejrzyj drzewo rozwoju jednostek.
mno_action_view_all_items|Przejrzyj listę wszystkich przedmiotów.
mno_action_view_trade_ledger|Przejrzyj główną księgę handlową.
mno_action_view_trade_ledger_denied|Oceń przedmioty i zanotuj w księdze halndlowej.
mno_return|Powrót
menu_kingdom_reports|Raport Królestwa
mno_view_faction_relations_report|Przjrzyj raport relacji Królestw
mno_kmt_lord_holdings|Przejrzyj listę posiadłości Lordów.
mno_lord_relations|Przejrzyj listę poznanych Lordów
menu_personal_reports|Przejrzyj osobiste notatki
mno_view_character_report|Przejrzyj raport postaci
mno_courtship_relations|Przejrzyj raport relacji w konkurach.
mno_view_affiliated_family_report|Przjrzyj rapot rodziny.
mno_view_weekly_budget_report|Przjrzyj tygodniowy raport budżetowy.
mno_view_bank_report|Przejrzyj raport finansowy.
menu_cheat_reports|Przejrzyj raport oszustw.
menu_party_reports|Przejrzyj raport oddziału.
mno_view_party_size_report|Przejrzyj raport wielkości oddziału.
mno_view_morale_report|Przejrzyj raport morali oddziału.
